Overriding config with config/train_shakespeare_char_baseline.py:
# Baseline configuration
out_dir = 'out-shakespeare-baseline'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False # Changed to True for Google colab
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
#init_from = 'resume' #resume from the save checkpoint
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 840: loss 1.4052, time 583.17ms, mfu 0.61%
iter 850: loss 1.3856, time 582.17ms, mfu 0.62%
iter 860: loss 1.3887, time 578.87ms, mfu 0.62%
iter 870: loss 1.4026, time 580.98ms, mfu 0.62%
iter 880: loss 1.3728, time 574.70ms, mfu 0.62%
iter 890: loss 1.3830, time 574.79ms, mfu 0.63%
iter 900: loss 1.3707, time 579.95ms, mfu 0.63%
iter 910: loss 1.3168, time 579.05ms, mfu 0.63%
iter 920: loss 1.3539, time 578.81ms, mfu 0.63%
iter 930: loss 1.3559, time 580.21ms, mfu 0.63%
iter 940: loss 1.3438, time 573.27ms, mfu 0.63%
iter 950: loss 1.3511, time 575.58ms, mfu 0.64%
iter 960: loss 1.3616, time 573.94ms, mfu 0.64%
iter 970: loss 1.3531, time 574.02ms, mfu 0.64%
iter 980: loss 1.3509, time 574.91ms, mfu 0.64%
iter 990: loss 1.3386, time 573.28ms, mfu 0.64%
step 1000: train loss 1.2690, val loss 1.5245
saving checkpoint to out-shakespeare-baseline
iter 1000: loss 1.3386, time 82973.90ms, mfu 0.58%
iter 1010: loss 1.3280, time 578.07ms, mfu 0.58%
iter 1020: loss 1.3076, time 410.95ms, mfu 0.62%
iter 1030: loss 1.3361, time 580.00ms, mfu 0.62%
iter 1040: loss 1.3542, time 573.32ms, mfu 0.62%
iter 1050: loss 1.2896, time 582.07ms, mfu 0.62%
iter 1060: loss 1.3225, time 575.01ms, mfu 0.63%
iter 1070: loss 1.3300, time 573.73ms, mfu 0.63%
iter 1080: loss 1.3313, time 582.74ms, mfu 0.63%
iter 1090: loss 1.3481, time 575.32ms, mfu 0.63%
iter 1100: loss 1.3118, time 574.77ms, mfu 0.63%
iter 1110: loss 1.2942, time 574.46ms, mfu 0.63%
iter 1120: loss 1.2969, time 580.19ms, mfu 0.64%
iter 1130: loss 1.2892, time 580.47ms, mfu 0.64%
iter 1140: loss 1.2925, time 575.77ms, mfu 0.64%
iter 1150: loss 1.3057, time 581.74ms, mfu 0.64%
iter 1160: loss 1.3259, time 571.94ms, mfu 0.64%
iter 1170: loss 1.2931, time 580.57ms, mfu 0.64%
iter 1180: loss 1.3094, time 582.16ms, mfu 0.64%
iter 1190: loss 1.2607, time 581.88ms, mfu 0.64%
iter 1200: loss 1.2892, time 576.12ms, mfu 0.64%
iter 1210: loss 1.2580, time 579.23ms, mfu 0.64%
iter 1220: loss 1.3027, time 578.56ms, mfu 0.64%
iter 1230: loss 1.2860, time 580.52ms, mfu 0.64%
iter 1240: loss 1.3011, time 575.38ms, mfu 0.64%
step 1250: train loss 1.2012, val loss 1.4948
saving checkpoint to out-shakespeare-baseline
iter 1250: loss 1.2735, time 82830.79ms, mfu 0.58%
