Overriding config with config/train_shakespeare_char_model_depth_8.py:
# Baseline configuration
out_dir = 'out-shakespeare-char_model_depth_8'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'depth-8'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 8
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
/content/drive/MyDrive/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
using fused AdamW: True
step 0: train loss 4.3102, val loss 4.3031
iter 0: loss 4.2887, time 94397.12ms, mfu -100.00%
iter 10: loss 3.1338, time 682.26ms, mfu 0.73%
iter 20: loss 2.7497, time 686.55ms, mfu 0.73%
iter 30: loss 2.6218, time 690.57ms, mfu 0.73%
iter 40: loss 2.5518, time 690.22ms, mfu 0.73%
iter 50: loss 2.5101, time 691.29ms, mfu 0.73%
iter 60: loss 2.5214, time 692.70ms, mfu 0.72%
iter 70: loss 2.4945, time 694.11ms, mfu 0.72%
iter 80: loss 2.4709, time 692.84ms, mfu 0.72%
iter 90: loss 2.4798, time 692.90ms, mfu 0.72%
iter 100: loss 2.4581, time 700.82ms, mfu 0.72%
iter 110: loss 2.4396, time 701.37ms, mfu 0.72%
iter 120: loss 2.4481, time 713.01ms, mfu 0.72%
iter 130: loss 2.4275, time 720.30ms, mfu 0.71%
iter 140: loss 2.4029, time 729.88ms, mfu 0.71%
iter 150: loss 2.3986, time 737.41ms, mfu 0.71%
iter 160: loss 2.3775, time 737.31ms, mfu 0.70%
iter 170: loss 2.3322, time 725.23ms, mfu 0.70%
iter 180: loss 2.2975, time 719.59ms, mfu 0.70%
iter 190: loss 2.2668, time 716.74ms, mfu 0.70%
iter 200: loss 2.1953, time 712.24ms, mfu 0.70%
iter 210: loss 2.1712, time 711.13ms, mfu 0.70%
iter 220: loss 2.1296, time 708.71ms, mfu 0.70%
iter 230: loss 2.0872, time 714.43ms, mfu 0.70%
iter 240: loss 2.0612, time 715.57ms, mfu 0.70%
step 250: train loss 1.9752, val loss 2.0691
saving checkpoint to out-shakespeare-char_model_depth_8
iter 250: loss 2.0092, time 103233.17ms, mfu 0.63%
iter 260: loss 2.0003, time 717.02ms, mfu 0.64%
iter 270: loss 1.9809, time 716.23ms, mfu 0.64%
iter 280: loss 1.9190, time 717.88ms, mfu 0.65%
iter 290: loss 1.9027, time 719.19ms, mfu 0.65%
iter 300: loss 1.8984, time 717.95ms, mfu 0.65%
iter 310: loss 1.8809, time 718.85ms, mfu 0.66%
iter 320: loss 1.8210, time 718.77ms, mfu 0.66%
iter 330: loss 1.8598, time 718.66ms, mfu 0.66%
iter 340: loss 1.8274, time 716.41ms, mfu 0.67%
iter 350: loss 1.8275, time 720.54ms, mfu 0.67%
iter 360: loss 1.8125, time 719.88ms, mfu 0.67%
iter 370: loss 1.7664, time 718.28ms, mfu 0.67%
iter 380: loss 1.7213, time 716.67ms, mfu 0.68%
iter 390: loss 1.7462, time 718.17ms, mfu 0.68%
iter 400: loss 1.7232, time 717.48ms, mfu 0.68%
iter 410: loss 1.7204, time 715.27ms, mfu 0.68%
iter 420: loss 1.6829, time 716.44ms, mfu 0.68%
iter 430: loss 1.6794, time 717.68ms, mfu 0.68%
iter 440: loss 1.6762, time 718.44ms, mfu 0.68%
iter 450: loss 1.6560, time 716.66ms, mfu 0.68%
iter 460: loss 1.6684, time 716.14ms, mfu 0.69%
iter 470: loss 1.5777, time 717.15ms, mfu 0.69%
iter 480: loss 1.5982, time 717.10ms, mfu 0.69%
iter 490: loss 1.5952, time 716.83ms, mfu 0.69%
step 500: train loss 1.5178, val loss 1.7044
saving checkpoint to out-shakespeare-char_model_depth_8
