Overriding config with config/train_shakespeare_char_model_depth_2.py:
# Baseline configuration
out_dir = 'out-shakespeare-char_model_depth_2'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'depth-2'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # "mps" for mac, "cuda" for windows, if you have a GPU
compile = False # set True only on Linux with GPU
Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
/content/drive/MyDrive/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: True
iter 800: loss 1.5525, time 188.54ms, mfu 0.65%
iter 810: loss 1.5345, time 188.91ms, mfu 0.65%
iter 820: loss 1.5557, time 187.30ms, mfu 0.65%
iter 830: loss 1.5317, time 187.33ms, mfu 0.65%
iter 840: loss 1.5246, time 186.86ms, mfu 0.65%
iter 850: loss 1.5382, time 188.53ms, mfu 0.65%
iter 860: loss 1.5140, time 187.16ms, mfu 0.66%
iter 870: loss 1.5186, time 188.75ms, mfu 0.66%
iter 880: loss 1.5325, time 188.02ms, mfu 0.66%
iter 890: loss 1.5293, time 188.00ms, mfu 0.66%
iter 900: loss 1.5133, time 187.52ms, mfu 0.66%
iter 910: loss 1.5256, time 187.80ms, mfu 0.66%
iter 920: loss 1.5297, time 189.50ms, mfu 0.66%
iter 930: loss 1.5054, time 187.76ms, mfu 0.66%
iter 940: loss 1.4784, time 188.80ms, mfu 0.66%
iter 950: loss 1.5093, time 187.62ms, mfu 0.66%
iter 960: loss 1.5010, time 187.83ms, mfu 0.66%
iter 970: loss 1.5040, time 189.11ms, mfu 0.66%
iter 980: loss 1.4996, time 187.98ms, mfu 0.66%
iter 990: loss 1.4947, time 189.31ms, mfu 0.66%
step 1000: train loss 1.3743, val loss 1.5950
saving checkpoint to out-shakespeare-char_model_depth_2
iter 1000: loss 1.5043, time 29231.43ms, mfu 0.59%
iter 1010: loss 1.4947, time 188.13ms, mfu 0.60%
iter 1020: loss 1.4961, time 187.04ms, mfu 0.61%
iter 1030: loss 1.5079, time 188.47ms, mfu 0.61%
iter 1040: loss 1.4703, time 189.18ms, mfu 0.62%
iter 1050: loss 1.4809, time 187.18ms, mfu 0.62%
iter 1060: loss 1.4860, time 188.00ms, mfu 0.63%
iter 1070: loss 1.4663, time 187.72ms, mfu 0.63%
iter 1080: loss 1.4723, time 187.12ms, mfu 0.63%
iter 1090: loss 1.4932, time 186.95ms, mfu 0.64%
iter 1100: loss 1.4639, time 187.72ms, mfu 0.64%
iter 1110: loss 1.4576, time 187.18ms, mfu 0.64%
iter 1120: loss 1.4632, time 188.61ms, mfu 0.64%
iter 1130: loss 1.4581, time 187.23ms, mfu 0.65%
iter 1140: loss 1.4726, time 187.49ms, mfu 0.65%
iter 1150: loss 1.4577, time 187.90ms, mfu 0.65%
iter 1160: loss 1.4238, time 187.98ms, mfu 0.65%
iter 1170: loss 1.4818, time 187.82ms, mfu 0.65%
iter 1180: loss 1.4429, time 188.05ms, mfu 0.65%
iter 1190: loss 1.4370, time 187.74ms, mfu 0.65%
iter 1200: loss 1.4354, time 188.49ms, mfu 0.66%
iter 1210: loss 1.4625, time 187.93ms, mfu 0.66%
iter 1220: loss 1.4582, time 186.45ms, mfu 0.66%
iter 1230: loss 1.4511, time 189.28ms, mfu 0.66%
iter 1240: loss 1.4151, time 188.11ms, mfu 0.66%
step 1250: train loss 1.3343, val loss 1.5778
saving checkpoint to out-shakespeare-char_model_depth_2
iter 1250: loss 1.4534, time 29196.18ms, mfu 0.59%
iter 1260: loss 1.4348, time 188.54ms, mfu 0.60%
iter 1270: loss 1.4202, time 189.28ms, mfu 0.61%
iter 1280: loss 1.4406, time 187.42ms, mfu 0.61%
iter 1290: loss 1.4422, time 187.78ms, mfu 0.62%
iter 1300: loss 1.4427, time 187.21ms, mfu 0.62%
iter 1310: loss 1.4328, time 189.51ms, mfu 0.63%
iter 1320: loss 1.4960, time 187.06ms, mfu 0.63%
iter 1330: loss 1.4421, time 188.26ms, mfu 0.63%
iter 1340: loss 1.4164, time 189.26ms, mfu 0.64%
iter 1350: loss 1.4081, time 186.97ms, mfu 0.64%
iter 1360: loss 1.4383, time 188.68ms, mfu 0.64%
iter 1370: loss 1.4489, time 188.68ms, mfu 0.64%
iter 1380: loss 1.4418, time 187.87ms, mfu 0.65%
iter 1390: loss 1.4356, time 188.88ms, mfu 0.65%
